Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-01-21,3.2005060570156076,3.245995283126831,3.2005060570156076,3.245995283126831,8400,0.0,0
2011-01-24,3.245995283126831,3.245995283126831,3.23137365762762,3.245995283126831,12900,0.0,0
2011-01-25,3.2459950979778607,3.2898599719734762,3.208628861554378,3.2329981327056885,16000,0.0,0
2011-01-26,3.28985952436924,3.330475074052811,3.249243974685669,3.249243974685669,10900,0.0,0
2011-01-27,3.249243974685669,3.249243974685669,3.1923821431542594,3.249243974685669,4000,0.0,0
2011-01-28,3.249243974685669,3.265490256533508,3.23299769283783,3.249243974685669,2900,0.0,0
2011-01-31,3.249243974685669,3.249243974685669,3.249243974685669,3.249243974685669,0,0.0,0
2011-02-01,3.2654901059863333,3.289859372698582,3.2508684839845765,3.252493143081665,5000,0.0,0
2011-02-02,3.250868943276816,3.2817368507385254,3.249244283950191,3.2817368507385254,7600,0.0,0
2011-02-03,3.249243900000212,3.249243900000212,3.0965293499360294,3.2167513370513916,22000,0.0,0
2011-02-04,3.249243974685669,3.249243974685669,3.249243974685669,3.249243974685669,200,0.0,0
2011-02-07,3.1745115120064837,3.249243974685669,3.1745115120064837,3.249243974685669,1300,0.0,0
2011-02-08,3.2086279892584333,3.2492435334262617,3.1842587247321386,3.231372594833374,2900,0.0,0
2011-02-09,3.168012657106893,3.1842589378356934,3.168012657106893,3.1842589378356934,500,0.0,0
2011-02-10,3.223249786909153,3.223249786909153,3.1680126190185547,3.1680126190185547,5300,0.0,0
2011-02-11,3.184258738522361,3.2021293673206315,3.184258738522361,3.200505018234253,1300,0.0,0
2011-02-14,3.168012580537552,3.1696372395583676,3.151766300201416,3.151766300201416,1300,0.0,0
2011-02-15,3.127397110220907,3.1842589378356934,3.127397110220907,3.1842589378356934,2600,0.0,0
2011-02-16,3.1842589378356934,3.1842589378356934,3.0900308814550876,3.1842589378356934,1200,0.0,0
2011-02-17,3.168012875318527,3.249243974685669,3.166388216146538,3.249243974685669,4600,0.0,0
2011-02-18,3.2492440551408013,3.2492440551408013,3.168012953762281,3.2118778228759766,14800,0.0,0
2011-02-22,3.1046518503603946,3.2329967904017014,3.0949038980494348,3.107900857925415,2700,0.0,0
2011-02-23,3.13552001986528,3.1842588608736877,3.1014031100442163,3.151766300201416,6300,0.0,0
2011-02-24,3.151766300201416,3.151766300201416,3.151766300201416,3.151766300201416,0,0.0,0
2011-02-25,3.151766300201416,3.151766300201416,3.151766300201416,3.151766300201416,4200,0.0,0
2011-02-28,3.1517663384850794,3.1680126190185547,3.1517663384850794,3.1680126190185547,10200,0.0,0
2011-03-01,3.107901224923607,3.127396821975708,3.107901224923607,3.127396821975708,900,0.0,0
2011-03-02,3.1095258838339492,3.1290214808860504,3.1062768758852677,3.127396821975708,3700,0.0,0
2011-03-03,3.166387886041069,3.166387886041069,3.104652393301855,3.1338956356048584,8600,0.0,0
2011-03-04,3.1095260604376755,3.1338956356048584,3.1095260604376755,3.1338956356048584,1700,0.0,0
2011-03-07,3.104652166366577,3.1111504920300144,3.104652166366577,3.104652166366577,5400,0.0,0
2011-03-08,3.119274227803497,3.119274227803497,3.0884063243865967,3.0884063243865967,8700,0.0,0
2011-03-09,3.09490400894442,3.09490400894442,3.062411763026208,3.0867810249328613,4600,0.0,0
2011-03-10,3.0867810249328613,3.0867810249328613,3.0461654851311133,3.0867810249328613,3700,0.0,0
2011-03-11,3.054289645541721,3.0867822138468424,3.005551102956136,3.0461666584014893,16000,0.0,0
2011-03-14,3.0347931385040283,3.0347931385040283,3.0347931385040283,3.0347931385040283,1000,0.0,0
2011-03-15,3.0851584106089183,3.0851584106089183,2.9243208035958106,2.9389424324035645,11500,0.0,0
2011-03-16,3.062413035935205,3.062413035935205,2.940566365883715,2.9746832847595215,4400,0.0,0
2011-03-17,2.9400933640553975,2.9895065711844593,2.9236221902918738,2.9417405128479004,15300,0.25,0
2011-03-18,2.964799821648266,2.964799821648266,2.8297367689279063,2.897268295288086,10700,0.0,0
2011-03-21,2.8445623355144707,2.923623631560693,2.8445623355144707,2.9203293323516846,5400,0.0,0
2011-03-22,2.8824446201324463,2.8857389179542223,2.8182073834154706,2.8824446201324463,12400,0.0,0
2011-03-23,2.9153880324045427,2.948330080141904,2.8593862056732178,2.8593862056732178,9200,0.0,0
2011-03-24,2.847855435488392,2.884091769043334,2.844561137666616,2.8824446201324463,3100,0.0,0
2011-03-25,2.9565654744290217,2.9565654744290217,2.8824453260934053,2.907151937484741,3200,0.0,0
2011-03-28,2.9153870924630967,2.956564874480024,2.8626792675857313,2.9219753742218018,5700,0.0,0
